,time,theta,torque
0,0.0,1.9198621771937625,-135.0844310926892
1,0.0005109405344272999,1.9198621771061286,-81.2530858972684
2,0.0010005727844567508,1.9198621768576936,-54.93068210401912
3,0.0016485650000725447,1.919862176281451,-35.91633544601712
4,0.0024643050383015477,1.9198621751552192,-23.252794260197263
5,0.003501965057070688,1.9198621730770111,-14.859364637155561
6,0.004819709318458291,1.9198621693959512,-9.395781957690264
7,0.006487452686824996,1.919862163065803,-5.902120369797419
8,0.008582104498372156,1.9198621524697679,-3.7151568953253453
9,0.011182785633806997,1.9198621352148617,-2.3829606770112757
10,0.014365934561563315,1.9198621079152005,-1.6017994752587401
11,0.018205942966000616,1.9198620659290362,-1.1683280952039072
12,0.022787198737666416,1.9198620028874536,-0.9458409337496729
13,0.028230960551458576,1.9198619096575018,-0.8430914652283105
14,0.034736802538995595,1.919861772141378,-0.8018245207245298
15,0.04264193583580692,1.919861566806316,-0.7880905174575203
16,0.052518591426670716,1.9198612513060942,-0.7846177369921875
17,0.06535681937255589,1.9198607433078108,-0.7841257899276097
18,0.0828326682522115,1.9198598739644688,-0.7843026068848759
19,0.10628284737941181,1.9198583852482758,-0.7849758869667011
20,0.12379304831924363,1.9198570328507438,-0.7851567123217862
21,0.14130324925907545,1.9198554745885705,-0.7852735033732924
22,0.16019905794542627,1.9198535620677435,-0.7855789968212628
23,0.17992063913889433,1.9198513102733088,-0.7860613071312327
24,0.19876415103797523,1.919848914748295,-0.7864282456819279
25,0.21605526503875275,1.9198465067896653,-0.7864255228390732
26,0.2329373077169623,1.919843962085641,-0.7864210982804278
27,0.25105193634992296,1.9198410187140724,-0.7866163373795996
28,0.27078902227978324,1.9198375608406302,-0.7870407878237546
29,0.2905251476874245,1.9198338415105909,-0.7875851717604119
30,0.30848616594604417,1.9198302293096356,-0.7877215284368653
31,0.32506280208677085,1.9198267032359524,-0.7875927707625989
32,0.34219050732062883,1.9198228660411008,-0.787652717785352
33,0.3613265280878039,1.9198183458107423,-0.78795571728201
34,0.3817099632617752,1.9198132603095095,-0.7885366322214016
35,0.3985532606651879,1.919808847387082,-0.788497503054961
36,0.41539655806860065,1.9198042438252527,-0.7884946835570757
37,0.4339879678853886,1.919798941111316,-0.7887246300438154
38,0.4541993097154002,1.9197929128053113,-0.7892209704553059
39,0.47154047812382216,1.919787521709477,-0.7892940816081039
40,0.4888523749663497,1.9197819380752643,-0.7893376624536066
41,0.507300797042788,1.9197757661122041,-0.789545916692711
42,0.5268033389750425,1.919768992668523,-0.7899282452863908
43,0.5459162589846563,1.919762106395646,-0.7903035612403432
44,0.5635947274032961,1.9197555182388808,-0.7903494201781969
45,0.5805036277789662,1.9197490201951035,-0.7902864524369588
46,0.5981921218786258,1.9197420167259107,-0.7903823667826817
47,0.6174452035347867,1.9197341545392785,-0.7906808061229278
48,0.6372089899706234,1.9197258243795134,-0.7911414253585405
49,0.6556442661692369,1.9197178172240594,-0.7913575999497805
50,0.6725302930309714,1.9197102822586338,-0.7912215336561481
51,0.6894219424986375,1.9197025527573515,-0.7911827790820577
52,0.7079355355812789,1.9196938604292988,-0.7913611497983045
53,0.727965381108349,1.9196841963013922,-0.7917828973857789
54,0.7453632583367272,1.9196755828122152,-0.7918166605961432
55,0.7627611355651055,1.9196667654594561,-0.7918284407668773
56,0.7811932517048399,1.9196572015117042,-0.7919881233221344
57,0.800536813800234,1.919646918486478,-0.7922986578006068
58,0.8194895393852369,1.9196365986857635,-0.7925856761114257
59,0.8371651142340449,1.91962675612703,-0.7925883224135566
60,0.8541966687453982,1.919617072960095,-0.7925026729779456
61,0.8719660065992884,1.9196067618769261,-0.7925571303799889
62,0.8911097773646391,1.9195954149947692,-0.7927922266639122
63,0.9106289915403681,1.919583591092036,-0.7931502082140024
64,0.9289434363154663,1.9195722632827414,-0.7932803685578838
65,0.9459367966796274,1.919561550179658,-0.7931284356917523
66,0.9630105731617734,1.9195505901235461,-0.7930615678445497
67,0.9815387455186445,1.9195384738451424,-0.7931864059696229
68,1.001311886173089,1.9195252877999383,-0.7935167679276599
69,1.0204784464643153,1.919512254285839,-0.7938268449218344
70,1.0378765842993152,1.919500208498435,-0.7937070054658897
71,1.0544604824003667,1.919488536112584,-0.7935064949655821
72,1.0720939361150217,1.919475921173266,-0.7935061688653666
73,1.0915930083414853,1.9194617269161427,-0.7937284092732166
74,1.111541731978301,1.9194469393689388,-0.7941398969526852
75,1.1297956451277118,1.9194331724003169,-0.7942126281771359
76,1.1463255730748176,1.919420511226614,-0.7939035087200301
77,1.1630434097408326,1.9194075181328216,-0.7937579486102161
78,1.181720220357375,1.9193927788944227,-0.7938451215930984
79,1.20200836933659,1.9193765005359928,-0.794202188809153
80,1.2190640694068589,1.9193626001844801,-0.7940413750946587
81,1.2361197694771278,1.919348502869721,-0.7939158847047394
82,1.2547794220922754,1.9193328541414152,-0.7939874542836945
83,1.2746387565925485,1.9193159402075635,-0.7942686791047384
84,1.2936825486934334,1.9192994698496675,-0.7944887917147482
85,1.3108769195443915,1.9192843878299573,-0.7942554536152819
86,1.327385379243483,1.9192697188496362,-0.7939914629129209
87,1.345132946687302,1.9192537426869725,-0.7939382404349081
88,1.3647754952981155,1.9192358115872021,-0.79410922542029
89,1.3846529299964858,1.9192173995553965,-0.7944500617635883
90,1.4026706475471051,1.9192004784254495,-0.7943884669870639
91,1.419062808138744,1.919184892444339,-0.7940018630303309
92,1.4358686810974206,1.9191687236532495,-0.7938095985325504
93,1.4547409992213247,1.9191503380571846,-0.7938440818500214
